unknown;Unknown
other;Other
farming;Farming
construction;Construction
medicine;Medicine
foodhospitality;Food/Hospitality
homemaker;Homemaker
mechanic;Mechanic
business;Business
janitorial;Janitorial Services
mining;Mining
engineering;Engineering
